
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag
2779200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2782000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2784800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2787600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2790400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2793200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2796000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2798800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2801600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2804400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2807200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2810000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2812800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2815600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2818400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2821200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2824000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2826800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2829600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2832400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2835200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2838000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2840800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2843600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2846400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2849200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2852000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2854800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2857600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2860400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2863200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2866000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2868800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2871600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2874400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2877200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2880000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2882800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2885600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2888400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2891200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2894000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2896800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2899600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2902400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2905200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2908000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2910800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2913600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2916400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2919200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2922000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2924800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2927600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2930400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2933200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2936000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2938800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2941600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2944400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2947200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2950000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2952800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2955600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2958400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2961200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2964000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2966800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2969600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2972400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2975200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2978000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2980800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2983600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2986400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2989200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2992000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2994800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2997600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3000400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3003200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3006000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3008800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3011600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3014400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3017200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3020000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3022800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3025600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3028400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3031200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3034000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3036800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3039600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3042400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3045200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3048000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3050800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3053600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3056400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3059200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3062000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3064800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3067600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3070400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3073200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3076000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3078800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3081600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3084400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3087200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3090000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3092800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3095600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3098400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3101200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3104000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3106800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3109600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3112400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3115200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3118000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3120800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3123600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3126400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3129200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3132000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3134800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3137600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3140400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3143200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3146000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3148800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3151600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3154400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3157200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3160000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3162800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3165600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3168400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3171200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3174000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3176800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3179600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3182400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3185200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3188000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3190800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3193600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3196400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3199200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3202000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3204800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3207600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3210400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3213200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3216000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3218800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3221600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3224400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3227200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3230000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3232800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3235600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3238400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3241200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3244000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3246800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3249600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3252400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3255200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3258000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3260800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3263600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3266400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3269200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3272000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3274800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3277600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3280400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3283200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3286000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3288800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3291600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3294400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3297200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3300000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3302800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3305600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3308400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3311200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3314000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3316800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3319600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3322400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3325200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3328000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3330800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3333600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3336400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3339200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3342000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3344800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3347600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3350400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3353200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3356000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3358800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3361600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3364400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3367200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3370000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3372800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3375600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3378400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3381200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3384000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3386800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3389600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3392400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3395200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3398000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3400800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3403600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3406400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3409200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3412000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3414800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3417600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3420400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3423200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3426000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3428800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3431600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3434400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3437200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3440000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3442800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3445600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3448400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3451200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3454000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3456800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3459600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3462400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3465200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3468000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3470800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3473600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3476400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3479200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3482000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3484800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3487600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3490400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3493200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3496000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3498800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3501600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3504400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3507200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3510000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3512800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3515600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3518400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3521200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3524000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3526800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3529600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3532400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3535200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3538000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3540800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3543600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3546400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3549200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3552000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3554800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3557600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3560400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3563200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3566000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3568800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3571600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3574400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3577200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3580000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3582800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3585600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3588400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3591200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3594000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3596800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3599600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3602400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3605200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3608000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3610800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3613600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3616400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3619200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3622000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3624800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3627600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3630400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3633200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3636000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3638800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3641600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3644400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3647200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3650000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3652800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3655600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3658400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3661200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3664000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3666800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3669600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3672400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3675200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3678000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3680800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3683600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3686400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3689200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3692000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3694800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3697600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3700400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3703200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3706000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3708800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3711600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3714400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3717200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3720000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3722800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3725600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3728400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3731200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3734000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3736800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3739600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3742400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3745200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3748000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3750800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3753600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3756400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3759200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3762000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3764800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3767600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3770400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3773200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3776000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3778800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3781600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3784400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3787200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3790000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3792800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3795600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3798400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3801200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3804000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3806800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3809600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3812400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3815200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3818000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3820800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3823600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3826400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3829200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3832000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3834800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3837600000.0,1.0,0.0,1.0,0.0,1.0,0.0
3840400000.0,1.0,0.0,1.0,0.0,1.0,0.0
3843200000.0,1.0,0.0,1.0,0.0,1.0,0.0
3846000000.0,1.0,0.0,1.0,0.0,1.0,0.0
3848800000.0,1.0,0.0,1.0,0.0,1.0,0.0
3851600000.0,1.0,0.0,1.0,0.0,1.0,0.0
